status,listone_name,docs_name,real_team,bsd_id,bsd_name,candidate_count,top_candidates,reason
automatic,Calafiori,Calafiori,Arsenal,446,Riccardo Calafiori,34,Riccardo Calafiori [446] score=94,
automatic,Cristhian Mosquera,Cristhian Mosquera,Arsenal,444,Cristhian Mosquera,34,Cristhian Mosquera [444] score=102,
automatic,Dowman,Dowman,Arsenal,3840,Max Dowman,34,Max Dowman [3840] score=94,
automatic,Eze,Eze,Arsenal,454,Eberechi Eze,34,Eberechi Eze [454] score=94,
ambiguous,Gabriel,Gabriel,Arsenal,,,34,Gabriel Martinelli [452] score=94 | Gabriel Jesus [461] score=94 | Gabriel Magalhães [4072] score=94,Candidati presenti ma nessun abbinamento automatico sicuro
automatic,Gabriel Jesus,Gabriel Jesus,Arsenal,461,Gabriel Jesus,34,Gabriel Jesus [461] score=102,
automatic,Gyokeres,Gyokeres,Arsenal,456,Viktor Gyökeres,34,Viktor Gyökeres [456] score=94,
automatic,Havertz,Havertz,Arsenal,4941,Kai Havertz,34,Kai Havertz [4941] score=94,
automatic,Hincapie,Hincapie,Arsenal,445,Piero Hincapié,34,Piero Hincapié [445] score=94,
automatic,Kepa,Raya - Kepa,Arsenal,457,Kepa Arrizabalaga,34,Kepa Arrizabalaga [457] score=94,
automatic,Lewis-Skelly,Lewis-Skelly,Arsenal,458,Myles Lewis-Skelly,34,Myles Lewis-Skelly [458] score=92,
automatic,Madueke,Madueke,Arsenal,450,Noni Madueke,34,Noni Madueke [450] score=94,
automatic,Martinelli,Martinelli,Arsenal,452,Gabriel Martinelli,34,Gabriel Martinelli [452] score=94,
automatic,Merino,Merino,Arsenal,451,Mikel Merino,34,Mikel Merino [451] score=94,
automatic,Norgaard,Norgaard,Arsenal,459,Christian Nørgaard,34,Christian Nørgaard [459] score=94,
automatic,Odegaard,Odegaard,Arsenal,447,Martin Ødegaard,34,Martin Ødegaard [447] score=94,
automatic,Raya,Raya - Kepa,Arsenal,442,David Raya,34,David Raya [442] score=94,
automatic,Rice,Rice,Arsenal,449,Declan Rice,34,Declan Rice [449] score=94,
automatic,Saka,Saka,Arsenal,455,Bukayo Saka,34,Bukayo Saka [455] score=94,
automatic,Saliba,Saliba,Arsenal,3460,William Saliba,34,William Saliba [3460] score=94,
automatic,Timber,Timber,Arsenal,453,Jurriën Timber,34,Jurriën Timber [453] score=94,
automatic,Trossard,Trossard,Arsenal,3461,Leandro Trossard,34,Leandro Trossard [3461] score=94,
automatic,White,White,Arsenal,443,Ben White,34,Ben White [443] score=94,
automatic,Zubimendi,Zubimendi,Arsenal,448,Martín Zubimendi,34,Martín Zubimendi [448] score=94,
automatic,Abraham,Abraham,Aston Villa,5837,Tammy Abraham,38,Tammy Abraham [5837] score=94,
