status,listone_name,docs_name,real_team,bsd_id,bsd_name,candidate_count,top_candidates,reason
automatic,Alena,Alena,Alaves,2354,Carles Aleñá,38,Carles Aleñá [2354] score=94,
automatic,Angel Perez,Angel Perez,Alaves,8845,Ángel Pérez,38,Ángel Pérez [8845] score=102,
automatic,Benavidez,Benavidez,Alaves,2362,Carlos Benavídez,38,Carlos Benavídez [2362] score=94,
automatic,Blanco,Blanco,Alaves,2348,Antonio Blanco,38,Antonio Blanco [2348] score=94,
automatic,Boye,Boye,Alaves,2353,Lucas Boyé,38,Lucas Boyé [2353] score=94,
no-name-match,Calebe,Calebe,Alaves,,,38,,Nessun nome BSD compatibile nella rosa del club
automatic,Denis Suarez,Denis Suarez,Alaves,2351,Denis Suárez,38,Denis Suárez [2351] score=102,
automatic,Enriquez,Enriquez,Alaves,2363,Youssef Enriquez,38,Youssef Enriquez [2363] score=94,
automatic,Garces,Garces,Alaves,4670,Facundo Garcés,38,Facundo Garcés [4670] score=94,
automatic,Guevara,Guevara,Alaves,2356,Ander Guevara,38,Ander Guevara [2356] score=94,
automatic,Guridi,Guridi,Alaves,2357,Jon Guridi,38,Jon Guridi [2357] score=94,
automatic,Ibanez,Ibanez,Alaves,2350,Pablo Ibáñez,38,Pablo Ibáñez [2350] score=94,
automatic,Jonny,Jonny,Alaves,2344,Jonny Otto,38,Jonny Otto [2344] score=94,
automatic,Koski,Koski,Alaves,13547,Ville Koski,38,Ville Koski [13547] score=94,
automatic,Mariano Diaz,Mariano Diaz,Alaves,2364,Mariano Díaz,38,Mariano Díaz [2364] score=102,
automatic,Moussa Diarra,Moussa Diarra,Alaves,2361,Moussa Diarra,38,Moussa Diarra [2361] score=102,
automatic,Pacheco,Pacheco,Alaves,2346,Jon Pacheco,38,Jon Pacheco [2346] score=94,
automatic,Parada,Parada,Alaves,2347,Victor Parada,38,Victor Parada [2347] score=94,
automatic,Pinillos,Pinillos,Alaves,4115,Lander Pinillos,38,Lander Pinillos [4115] score=94,
automatic,Raul Fernandez,Sivera - Raul Fernandez,Alaves,2365,Izei Hernandez,38,Izei Hernandez [2365] score=90,
automatic,Rebbach,Rebbach,Alaves,2352,Abderrahman Rebbach,38,Abderrahman Rebbach [2352] score=94,
automatic,Sivera,Sivera - Raul Fernandez,Alaves,2343,Antonio Sivera,38,Antonio Sivera [2343] score=94 | Izei Hernandez [2365] score=90,
automatic,Tenaglia,Tenaglia,Alaves,2345,Nahuel Tenaglia,38,Nahuel Tenaglia [2345] score=94,
automatic,Toni Martinez,Toni Martinez,Alaves,2358,Toni Martínez,38,Toni Martínez [2358] score=102,
automatic,Adama Boiro,Adama Boiro,Athletic Bilbao,566,Adama Boiro,34,Adama Boiro [566] score=102,
automatic,Areso,Areso,Athletic Bilbao,573,Jesús Areso,34,Jesús Areso [573] score=94,
automatic,Berchiche,Berchiche,Athletic Bilbao,579,Yuri Berchiche,34,Yuri Berchiche [579] score=94,
automatic,Berenguer,Berenguer,Athletic Bilbao,568,Álex Berenguer,34,Álex Berenguer [568] score=94,
automatic,de Galarreta,de Galarreta,Athletic Bilbao,570,Iñigo Ruiz de Galarreta,34,Iñigo Ruiz de Galarreta [570] score=92,
automatic,Gorosabel,Gorosabel,Athletic Bilbao,580,Andoni Gorosabel,34,Andoni Gorosabel [580] score=94,
automatic,Guruzeta,Guruzeta,Athletic Bilbao,572,Gorka Guruzeta,34,Gorka Guruzeta [572] score=94,
automatic,Inaki Williams,Inaki Williams,Athletic Bilbao,4436,Iñaki Williams,34,Iñaki Williams [4436] score=102 | Nico Williams [571] score=90,
automatic,Jauregizar,Jauregizar,Athletic Bilbao,569,Mikel Jauregizar,34,Mikel Jauregizar [569] score=94,
