real_round_number,fantasy_matchday_number,status,home_team,away_team,home_total,away_total,home_goals,away_goals,note
2,1,calcolata,Pietro-Nick,Chris-Luca,76.5,83.5,2,3,
2,1,calcolata,Edis,Attilio,72,77.5,2,2,
2,1,calcolata,Edoardo,Sebastian,74,72,2,2,
2,1,calcolata,Paolo,Nicoló-Gabriele,73.5,81.5,2,3,
3,2,calcolata,Pietro-Nick,Sebastian,79,72,3,2,
3,2,calcolata,Attilio,Nicoló-Gabriele,82.5,67,3,1,
3,2,calcolata,Chris-Luca,Paolo,70.5,76,1,2,
3,2,calcolata,Edis,Edoardo,89,71,4,1,
4,3,calcolata,Pietro-Nick,Attilio,91.5,86.5,5,4,
4,3,calcolata,Chris-Luca,Sebastian,75,75,2,2,
4,3,calcolata,Edis,Nicoló-Gabriele,73,80,2,3,
4,3,calcolata,Edoardo,Paolo,68.5,79,1,3,
5,4,calcolata,Pietro-Nick,Edoardo,76.5,73.5,2,2,
5,4,calcolata,Paolo,Edis,75,75.5,2,2,
5,4,calcolata,Nicoló-Gabriele,Chris-Luca,78.5,68.5,3,1,
5,4,calcolata,Sebastian,Attilio,67,66,1,1,
6,5,calcolata,Pietro-Nick,Nicoló-Gabriele,90.5,80,5,3,
6,5,calcolata,Sebastian,Paolo,77.5,79.5,2,3,
6,5,calcolata,Attilio,Edoardo,68.5,70.5,1,1,
6,5,calcolata,Chris-Luca,Edis,73.5,72,2,2,
7,6,calcolata,Pietro-Nick,Paolo,96,83,6,3,
7,6,calcolata,Nicoló-Gabriele,Edoardo,80,82.5,3,3,
7,6,calcolata,Sebastian,Edis,78,77,3,2,
7,6,calcolata,Attilio,Chris-Luca,73,76,2,2,
8,7,calcolata,Pietro-Nick,Edis,83.5,83,3,3,
8,7,calcolata,Edoardo,Chris-Luca,71,70,1,1,
8,7,calcolata,Paolo,Attilio,85.5,74,4,2,
8,7,calcolata,Nicoló-Gabriele,Sebastian,83.5,69,3,1,
9,8,calcolata,Chris-Luca,Pietro-Nick,75,85,2,4,
9,8,calcolata,Attilio,Edis,84,81,4,3,
9,8,calcolata,Sebastian,Edoardo,73,67,2,1,
9,8,calcolata,Nicoló-Gabriele,Paolo,81,72,3,2,
10,9,calcolata,Sebastian,Pietro-Nick,69.5,89,1,4,
10,9,calcolata,Nicoló-Gabriele,Attilio,79,77,3,2,
10,9,calcolata,Paolo,Chris-Luca,81.5,66.5,3,1,
10,9,calcolata,Edoardo,Edis,73.5,70.5,2,1,
11,10,calcolata,Attilio,Pietro-Nick,80.5,67.5,3,1,
11,10,calcolata,Sebastian,Chris-Luca,87,79.5,4,3,
11,10,calcolata,Nicoló-Gabriele,Edis,77.5,76.5,2,2,
11,10,calcolata,Paolo,Edoardo,68,81.5,1,3,
12,11,calcolata,Edoardo,Pietro-Nick,73,76.5,2,2,
12,11,calcolata,Edis,Paolo,72,75,2,2,
12,11,calcolata,Chris-Luca,Nicoló-Gabriele,75,105.5,2,7,
12,11,calcolata,Attilio,Sebastian,70.5,79,1,3,
13,12,calcolata,Nicoló-Gabriele,Pietro-Nick,74,71.5,2,1,
13,12,calcolata,Paolo,Sebastian,86,84.5,4,4,
13,12,calcolata,Edoardo,Attilio,72,76,2,2,
13,12,calcolata,Edis,Chris-Luca,75.5,69,2,1,
14,13,calcolata,Paolo,Pietro-Nick,70,81.5,1,3,
14,13,calcolata,Edoardo,Nicoló-Gabriele,75,78,2,3,
14,13,calcolata,Edis,Sebastian,67,76.5,1,2,
14,13,calcolata,Chris-Luca,Attilio,83.5,71.5,3,1,
15,14,calcolata,Edis,Pietro-Nick,101,83.5,6,3,
15,14,calcolata,Chris-Luca,Edoardo,76.5,97,2,6,
15,14,calcolata,Attilio,Paolo,82.5,67.5,3,1,
15,14,calcolata,Sebastian,Nicoló-Gabriele,68.5,74.5,1,2,
16,15,calcolata,Pietro-Nick,Chris-Luca,73,74,2,2,
16,15,calcolata,Edis,Attilio,86,92,4,5,
16,15,calcolata,Edoardo,Sebastian,78,73,3,2,
16,15,calcolata,Paolo,Nicoló-Gabriele,68.5,78,1,3,
17,16,calcolata,Pietro-Nick,Sebastian,89,74.5,4,2,
17,16,calcolata,Attilio,Nicoló-Gabriele,83.5,81.5,3,3,
17,16,calcolata,Chris-Luca,Paolo,69,76,1,2,
17,16,calcolata,Edis,Edoardo,75.5,65,2,0,
18,17,calcolata,Pietro-Nick,Attilio,78.5,82.5,3,3,
18,17,calcolata,Chris-Luca,Sebastian,94,80,5,3,
18,17,calcolata,Edis,Nicoló-Gabriele,70.5,74,1,2,
18,17,calcolata,Edoardo,Paolo,81,83.5,3,3,
